Sno.,Model Name,Price,RAM,ROM,Battery Capacity,Camera,URL,Features
1,I Kall k76,499,32 MB RAM,64 MB ROM,600 mAh Battery,0.03MP Rear Camera,https://www.flipkart.com/i-kall-k76/p/itmc0b3d5cf4de39?pid=MOBFXB8G2HDCXVNK&lid=LSTMOBFXB8G2HDCXVNKJMKTXO&marketplace=FLIPKART&srno=b_1_1&otracker=browse&fm=organic&iid=d926681a-568c-4cd6-811b-26d0c11ba927.MOBFXB8G2HDCXVNK.SEARCH&ssid=8roppo0nj40000001605235578301,32 MB RAM | 64 MB ROM 3.56 cm (1.4 inch) Display 0.03MP Rear Camera 600 mAh Battery 1 year brand warranty
2,nuvo One Echo,569,32 MB RAM,32 MB ROM,800 mAh Battery,1.3MP Rear Camera,https://www.flipkart.com/nuvo-one-echo/p/itm2e024b36cec10?pid=MOBFPERGGF2G2XZY&lid=LSTMOBFPERGGF2G2XZY691O4K&marketplace=FLIPKART&srno=b_1_2&otracker=browse&fm=organic&iid=d926681a-568c-4cd6-811b-26d0c11ba927.MOBFPERGGF2G2XZY.SEARCH&ssid=8roppo0nj40000001605235578301,32 MB RAM | 32 MB ROM 4.5 cm (1.77 inch) Display 1.3MP Rear Camera 800 mAh Battery One year brand warranty from the date of Purchase.
3,I Kall K100,589,32 MB RAM,64 MB ROM,800 mAh Battery,,https://www.flipkart.com/i-kall-k100/p/itm3fa8e764f8127?pid=MOBFM2T6N6YRSTTS&lid=LSTMOBFM2T6N6YRSTTS6XRO2H&marketplace=FLIPKART&srno=b_1_3&otracker=browse&fm=organic&iid=d926681a-568c-4cd6-811b-26d0c11ba927.MOBFM2T6N6YRSTTS.SEARCH&ssid=8roppo0nj40000001605235578301,32 MB RAM | 64 MB ROM 4.57 cm (1.8 inch) Display 800 mAh Battery 1 Year Manufacturer warranty
4,I Kall K100,589,32 MB RAM,64 MB ROM,800 mAh Battery,,https://www.flipkart.com/i-kall-k100/p/itm3fa8e764f8127?pid=MOBFM2T6UKBFMDJG&lid=LSTMOBFM2T6UKBFMDJGFJSDIT&marketplace=FLIPKART&srno=b_1_4&otracker=browse&fm=organic&iid=d926681a-568c-4cd6-811b-26d0c11ba927.MOBFM2T6UKBFMDJG.SEARCH&ssid=8roppo0nj40000001605235578301,32 MB RAM | 64 MB ROM 4.57 cm (1.8 inch) Display 800 mAh Battery 1 Year Manufacturer warranty
5,I Kall K31 New,599,32 MB RAM,64 MB ROM,800 mAh Battery,,https://www.flipkart.com/kall-k31-new/p/itm5f7a4491c0bd4?pid=MOBFGK5EZWHAK9HF&lid=LSTMOBFGK5EZWHAK9HF1NPBYK&marketplace=FLIPKART&srno=b_1_5&otracker=browse&fm=organic&iid=d926681a-568c-4cd6-811b-26d0c11ba927.MOBFGK5EZWHAK9HF.SEARCH&ssid=8roppo0nj40000001605235578301,32 MB RAM | 64 MB ROM 4.57 cm (1.8 inch) Display 800 mAh Battery 15 Month Manufacturer Warranty
6,GreenBerry Music,599,32 MB RAM,32 MB ROM,1000 mAh Battery,2MP Rear Camera; 0MP Front Camera,https://www.flipkart.com/greenberry-music/p/itm8a3bc2b8af450?pid=MOBFGZR8GYKRYAHP&lid=LSTMOBFGZR8GYKRYAHPYNPHO9&marketplace=FLIPKART&srno=b_1_6&otracker=browse&fm=organic&iid=d926681a-568c-4cd6-811b-26d0c11ba927.MOBFGZR8GYKRYAHP.SEARCH&ssid=8roppo0nj40000001605235578301,32 MB RAM | 32 MB ROM 4.57 cm (1.8 inch) NA Display 2MP Rear Camera | 0MP Front Camera 1000 mAh Battery 6 Months
7,EcoTel E16,599,32 MB RAM,64 MB ROM,1000 mAh Battery,0.3MP Rear Camera,https://www.flipkart.com/ecotel-e16/p/itm081bec556cf11?pid=MOBFPNNGY86TAZHK&lid=LSTMOBFPNNGY86TAZHKLNV1JN&marketplace=FLIPKART&srno=b_1_7&otracker=browse&fm=organic&iid=d926681a-568c-4cd6-811b-26d0c11ba927.MOBFPNNGY86TAZHK.SEARCH&ssid=8roppo0nj40000001605235578301,32 MB RAM | 64 MB ROM 4.57 cm (1.8 inch) Display 0.3MP Rear Camera 1000 mAh Battery 1 Year Warranty
8,I Kall K43,599,32 MB RAM,64 MB ROM,800 mAh Battery,,https://www.flipkart.com/i-kall-k43/p/itm8d9b3e1dc73af?pid=MOBFM56ZHJEKVYK9&lid=LSTMOBFM56ZHJEKVYK9Y2VGYK&marketplace=FLIPKART&srno=b_1_8&otracker=browse&fm=organic&iid=d926681a-568c-4cd6-811b-26d0c11ba927.MOBFM56ZHJEKVYK9.SEARCH&ssid=8roppo0nj40000001605235578301,32 MB RAM | 64 MB ROM 4.57 cm (1.8 inch) Display 800 mAh Battery 1 Year Manufacturer warranty
9,GreenBerry N106,599,32 MB RAM,32 MB ROM,1000 mAh Battery,2MP Rear Camera; 0MP Front Camera,https://www.flipkart.com/greenberry-n106/p/itm7856e19e169d5?pid=MOBFPBUT9MAK43FZ&lid=LSTMOBFPBUT9MAK43FZEADKGR&marketplace=FLIPKART&srno=b_1_9&otracker=browse&fm=organic&iid=d926681a-568c-4cd6-811b-26d0c11ba927.MOBFPBUT9MAK43FZ.SEARCH&ssid=8roppo0nj40000001605235578301,32 MB RAM | 32 MB ROM 4.57 cm (1.8 inch) NA Display 2MP Rear Camera | 0MP Front Camera 1000 mAh Battery 6 Months
10,I Kall K72,599,32 MB RAM,64 MB ROM,800 mAh Battery,,https://www.flipkart.com/i-kall-k72/p/itm6c61f47b27431?pid=MOBFJX5B6CZSMAPZ&lid=LSTMOBFJX5B6CZSMAPZ8UH2YT&marketplace=FLIPKART&srno=b_1_10&otracker=browse&fm=organic&iid=d926681a-568c-4cd6-811b-26d0c11ba927.MOBFJX5B6CZSMAPZ.SEARCH&ssid=8roppo0nj40000001605235578301,32 MB RAM | 64 MB ROM 4.57 cm (1.8 inch) Display 800 mAh Battery 1 Year Manufacturer warranty
